filename;date;artist
84992.jpg;1922;Fernand Khnopff
51485.jpg;;Giovanni Battista Piranesi
28511.jpg;c.1878;Gustave Caillebotte
27502.jpg;;Terry Frost
32104.jpg;1610.0;Sofonisba Anguissola
23194.jpg;1534;Michelangelo
56499.jpg;;Fyodor Vasilyev
80563.jpg;1914.0;Vanessa Bell
19569.jpg;1889;Julian Alden Weir
51520.jpg;1512;Michelangelo
44326.jpg;1890;Eugene Boudin
20319.jpg;1888;Odilon Redon
31055.jpg;1930.0;Lawren Harris
95761.jpg;1937;Ernst Ludwig Kirchner
43093.jpg;1913.0;Raphael Kirchner
75597.jpg;1893;Henri de Toulouse-Lautrec
43073.jpg;1777;Thomas Gainsborough
8182.jpg;1914.0;Robert Henri
62534.jpg;1895;Edgar Degas
30550.jpg;c.1906;John Singer Sargent
98505.jpg;1951;Zao Wou-Ki
88132.jpg;1890.0;Theodor Severin Kittelsen
66395.jpg;1917;Juan Gris
101068.jpg;1909;Ilya Mashkov
1810.jpg;1995.0;Eyvind Earle
81155.jpg;1886;James Ensor
55735.jpg;1819.0;William Shayer
54120.jpg;1894.0;Jose Maria Velasco
27253.jpg;;Raphael Kirchner
99127.jpg;1797;Benjamin West
15247.jpg;1990;Bernard Buffet
93624.jpg;1454;Filippo Lippi
26815.jpg;;Claude Monet
31371.jpg;1640;Anthony van Dyck
78986.jpg;1896;Isaac Levitan
41253.jpg;;William Turner
96715.jpg;1948;Ad Reinhardt
102313.jpg;;William Williams
101885.jpg;1860.0;Thomas Couture
60521.jpg;1930.0;Christopher Wood
62046.jpg;;Theodor Severin Kittelsen
87130.jpg;;Edouard Cortes
22864.jpg;1892;Henri-Edmond Cross
86497.jpg;1901.0;Raphael Kirchner
13168.jpg;c.1631;Bernardo Strozzi
100600.jpg;1892;Henri de Toulouse-Lautrec
2560.jpg;;Yiannis Moralis
23796.jpg;1976;Salvador Dali
64831.jpg;1867;Ivan Kramskoy
73025.jpg;;Hieronymus Bosch
58928.jpg;c.1463;Dirk Bouts
89.jpg;1891.0;Ilya Repin
66888.jpg;c.1920;Constantine Maleas
76254.jpg;;Saturnino Herran
11991.jpg;1933.0;Lasar Segall
66966.jpg;1866;Edouard Manet
83693.jpg;1933.0;Francisc Sirato
43685.jpg;;Ion Andreescu
